217,Indian Institute of Technology (BHU) Varanasi,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,4,0,1,0,6,0,23,29,1
218,Indian Institute of Technology (BHU) Varanasi,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,1,2,0,3,0,1,0,6,0,22,28,0
219,Indian Institute of Technology (BHU) Varanasi,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,1,2,0,4,0,1,1,6,1,26,30,2
220,Indian Institute of Technology (BHU) Varanasi,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,0,2,1,3,0,2,0,6,0,23,27,1
221,Indian Institute of Technology (BHU) Varanasi,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,4,0,1,0,6,0,23,28,2
222,Indian Institute of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,16,1,4,1,6,0,3,0,10,0,41,52,0
223,Indian Institute of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,1,2,0,3,0,2,0,6,0,23,27,1
224,Indian Institute of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,0,2,0,2,0,2,0,4,0,16,21,0
225,Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,0,2,0,2,0,2,0,4,0,16,21,0
226,Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,30,1,8,0,10,1,5,1,20,1,77,87,10
227,Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",All India,Gender-Neutral,20,1,5,0,8,0,4,0,13,1,52,61,4
228,Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,36,2,8,1,13,1,7,0,24,1,93,99,18
229,Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,2,8,1,13,1,7,0,23,1,91,99,15
230,Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,32,2,8,0,12,1,6,0,21,1,83,90,14
